id,name,email,password,role
1,ShopX Customer 00001,customer00001@shopx.local,ShopX@123,CUSTOMER
2,ShopX Customer 00002,customer00002@shopx.local,ShopX@123,CUSTOMER
3,ShopX Customer 00003,customer00003@shopx.local,ShopX@123,CUSTOMER
4,ShopX Customer 00004,customer00004@shopx.local,ShopX@123,CUSTOMER
5,ShopX Customer 00005,customer00005@shopx.local,ShopX@123,CUSTOMER
6,ShopX Customer 00006,customer00006@shopx.local,ShopX@123,CUSTOMER
7,ShopX Customer 00007,customer00007@shopx.local,ShopX@123,CUSTOMER
8,ShopX Customer 00008,customer00008@shopx.local,ShopX@123,CUSTOMER
9,ShopX Customer 00009,customer00009@shopx.local,ShopX@123,CUSTOMER
10,ShopX Customer 00010,customer00010@shopx.local,ShopX@123,CUSTOMER
11,ShopX Customer 00011,customer00011@shopx.local,ShopX@123,CUSTOMER
12,ShopX Customer 00012,customer00012@shopx.local,ShopX@123,CUSTOMER
13,ShopX Customer 00013,customer00013@shopx.local,ShopX@123,CUSTOMER
14,ShopX Customer 00014,customer00014@shopx.local,ShopX@123,CUSTOMER
15,ShopX Customer 00015,customer00015@shopx.local,ShopX@123,CUSTOMER
16,ShopX Customer 00016,customer00016@shopx.local,ShopX@123,CUSTOMER
17,ShopX Customer 00017,customer00017@shopx.local,ShopX@123,CUSTOMER
18,ShopX Customer 00018,customer00018@shopx.local,ShopX@123,CUSTOMER
19,ShopX Customer 00019,customer00019@shopx.local,ShopX@123,CUSTOMER
20,ShopX Customer 00020,customer00020@shopx.local,ShopX@123,CUSTOMER
21,ShopX Customer 00021,customer00021@shopx.local,ShopX@123,CUSTOMER
22,ShopX Customer 00022,customer00022@shopx.local,ShopX@123,CUSTOMER
23,ShopX Customer 00023,customer00023@shopx.local,ShopX@123,CUSTOMER
24,ShopX Customer 00024,customer00024@shopx.local,ShopX@123,CUSTOMER
25,ShopX Customer 00025,customer00025@shopx.local,ShopX@123,CUSTOMER
26,ShopX Customer 00026,customer00026@shopx.local,ShopX@123,CUSTOMER
27,ShopX Customer 00027,customer00027@shopx.local,ShopX@123,CUSTOMER
28,ShopX Customer 00028,customer00028@shopx.local,ShopX@123,CUSTOMER
29,ShopX Customer 00029,customer00029@shopx.local,ShopX@123,CUSTOMER
30,ShopX Customer 00030,customer00030@shopx.local,ShopX@123,CUSTOMER
31,ShopX Customer 00031,customer00031@shopx.local,ShopX@123,CUSTOMER
32,ShopX Customer 00032,customer00032@shopx.local,ShopX@123,CUSTOMER
33,ShopX Customer 00033,customer00033@shopx.local,ShopX@123,CUSTOMER
34,ShopX Customer 00034,customer00034@shopx.local,ShopX@123,CUSTOMER
35,ShopX Customer 00035,customer00035@shopx.local,ShopX@123,CUSTOMER
36,ShopX Customer 00036,customer00036@shopx.local,ShopX@123,CUSTOMER
37,ShopX Customer 00037,customer00037@shopx.local,ShopX@123,CUSTOMER
38,ShopX Customer 00038,customer00038@shopx.local,ShopX@123,CUSTOMER
39,ShopX Customer 00039,customer00039@shopx.local,ShopX@123,CUSTOMER
40,ShopX Customer 00040,customer00040@shopx.local,ShopX@123,CUSTOMER
41,ShopX Customer 00041,customer00041@shopx.local,ShopX@123,CUSTOMER
42,ShopX Customer 00042,customer00042@shopx.local,ShopX@123,CUSTOMER
43,ShopX Customer 00043,customer00043@shopx.local,ShopX@123,CUSTOMER
44,ShopX Customer 00044,customer00044@shopx.local,ShopX@123,CUSTOMER
45,ShopX Customer 00045,customer00045@shopx.local,ShopX@123,CUSTOMER
46,ShopX Customer 00046,customer00046@shopx.local,ShopX@123,CUSTOMER
47,ShopX Customer 00047,customer00047@shopx.local,ShopX@123,CUSTOMER
48,ShopX Customer 00048,customer00048@shopx.local,ShopX@123,CUSTOMER
49,ShopX Customer 00049,customer00049@shopx.local,ShopX@123,CUSTOMER
50,ShopX Customer 00050,customer00050@shopx.local,ShopX@123,CUSTOMER
51,ShopX Customer 00051,customer00051@shopx.local,ShopX@123,CUSTOMER
52,ShopX Customer 00052,customer00052@shopx.local,ShopX@123,CUSTOMER
53,ShopX Customer 00053,customer00053@shopx.local,ShopX@123,CUSTOMER
54,ShopX Customer 00054,customer00054@shopx.local,ShopX@123,CUSTOMER
55,ShopX Customer 00055,customer00055@shopx.local,ShopX@123,CUSTOMER
56,ShopX Customer 00056,customer00056@shopx.local,ShopX@123,CUSTOMER
57,ShopX Customer 00057,customer00057@shopx.local,ShopX@123,CUSTOMER
58,ShopX Customer 00058,customer00058@shopx.local,ShopX@123,CUSTOMER
59,ShopX Customer 00059,customer00059@shopx.local,ShopX@123,CUSTOMER
60,ShopX Customer 00060,customer00060@shopx.local,ShopX@123,CUSTOMER
61,ShopX Customer 00061,customer00061@shopx.local,ShopX@123,CUSTOMER
62,ShopX Customer 00062,customer00062@shopx.local,ShopX@123,CUSTOMER
